mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
1;1;7.0;0.07240511745383767;0.15921557606931458;12.0305611878352;10007.674711289563;123.71500000000003
1;1;10.0;0.24111868903831069;0.16404915775058837;12.0305611878352;10007.674711289563;465.03000000000003
1;1;13.0;0.7006314734535624;0.5191298556844485;12.0305611878352;10007.674711289563;548.455
1;1;16.0;0.2084754108544028;0.3095748791670014;12.0305611878352;10007.674711289563;509.68
1;2;7.0;0.08751988120469303;0.202147524194953;12.030443720222841;10013.514241161498;113.75999999999999
1;2;10.0;1.264914427344818;1.0;12.030443720222841;10013.514241161498;319.02666666666664
1;2;13.0;0.9478709179724102;0.7239751140520307;12.030443720222841;10013.514241161498;539.235
1;2;16.0;0.3894704420958395;0.6023092686924051;12.030443720222841;10013.514241161498;458.28333333333336
1;3;7.0;0.15308871557272083;0.38838912493366395;12.030315133011248;10019.768256039792;129.82500000000005
1;3;10.0;0.20281192437534673;0.12977315309803514;12.030315133011248;10019.768256039792;582.515
1;3;13.0;0.18186214464326456;0.08931398467677215;12.030315133011248;10019.768256039792;661.5475
1;3;16.0;0.10092549004690432;0.13562778130942887;12.030315133011248;10019.768256039792;518.91
1;4;7.0;0.07230437587113728;0.15892942985665262;12.030175527568106;10026.427633442583;124.18500000000006
1;4;10.0;0.4866396131189563;0.38373558676983904;12.030175527568106;10026.427633442583;475.88
1;4;13.0;0.2519690040727999;0.14739960997467294;12.030175527568106;10026.427633442583;636.615
1;4;16.0;0.15673102999628605;0.22588551135410764;12.030175527568106;10026.427633442583;485.15
1;5;7.0;0.19832089988659232;0.5168665409609274;12.030025013436976;10033.482516189617;122.445
1;5;10.0;1.149583256418966;0.9769221845432866;12.030025013436976;10033.482516189617;333.77166666666665
1;5;13.0;1.0018137749009572;0.7686683808813508;12.030025013436976;10033.482516189617;564.36
1;5;16.0;0.3572719138689066;0.5502326097947668;12.030025013436976;10033.482516189617;453.65333333333336
1;6;7.0;0.18310466964437988;0.4736463875933655;12.02986370805375;10040.92233065297;198.17999999999995
1;6;10.0;0.8250853346855915;0.6865689695710357;12.02986370805375;10040.92233065297;513.9266666666666
1;6;13.0;0.9232003111419804;0.7035347800264494;12.02986370805375;10040.92233065297;586.685
1;6;16.0;0.1935945701870977;0.285507180852358;12.02986370805375;10040.92233065297;512.48
1;7;7.0;0.161185798428974;0.4113880647043226;12.029691736446111;10048.7358063998;163.32
1;7;10.0;0.8607410517080307;0.7184728782749948;12.029691736446111;10048.7358063998;490.38666666666666
1;7;11.0;0.5459291115982066;0.41662314065863265;12.029691736446111;10048.7358063998;534.125
1;7;12.0;0.7322593947841751;0.5717397957914176;12.029691736446111;10048.7358063998;567.4
1;7;13.0;0.43847426025159225;0.30192478075883705;12.029691736446111;10048.7358063998;622.1850000000001
1;7;14.0;0.1628040284627497;0.12636970928719646;12.029691736446111;10048.7358063998;655.26
1;7;15.0;0.07033587991393338;0.06615933518090826;12.029691736446111;10048.7358063998;641.295
1;7;16.0;0.05585186677926504;0.06272743978928183;12.029691736446111;10048.7358063998;557.46
1;8;7.0;0.1812417182079194;0.4683548636404239;12.029509230917405;10056.910997176248;197.23000000000002
1;8;10.0;0.2360239627080969;0.15949051478153783;12.029509230917405;10056.910997176248;491.71999999999997
1;8;13.0;0.25594795951207105;0.15069629330356818;12.029509230917405;10056.910997176248;607.7866666666666
1;8;16.0;0.08209092215581089;0.10516547692594948;12.029509230917405;10056.910997176248;451.08
1;9;7.0;0.10231503459629988;0.24417165162356613;12.02931633071652;10065.435303177695;130.07499999999993
1;9;10.0;0.34805049063192645;0.25972925397318275;12.02931633071652;10065.435303177695;489.94
1;9;13.0;0.6307816358809853;0.4612571806655665;12.02931633071652;10065.435303177695;556.67
1;9;16.0;0.04544351491039684;0.04589337252566527;12.02931633071652;10065.435303177695;579.105
1;10;7.0;0.11902538174643272;0.29163569200397327;12.029113181695301;10074.295494547621;109.95999999999998
1;10;10.0;0.4147819816653998;0.31943904458743844;12.029113181695301;10074.295494547621;495.885
1;10;13.0;0.8104435527269422;0.6101124405806951;12.029113181695301;10074.295494547621;619.7006666666666
1;10;16.0;0.3043270250823561;0.46460158671575874;12.029113181695301;10074.295494547621;466.245
1;11;7.0;0.19100915547743594;0.4960982751212405;12.028899935955112;10083.477736043835;97.055
1;11;10.0;0.6603044442741349;0.5391268502459439;12.028899935955112;10083.477736043835;543.485
1;11;13.0;0.7360688730689969;0.5484907988552522;12.028899935955112;10083.477736043835;632.3233333333333
1;11;14.0;0.4666148415541874;0.512189733413257;12.028899935955112;10083.477736043835;582.1523333333333
1;11;15.0;0.19038558146537618;0.27493124379521233;12.028899935955112;10083.477736043835;621.66
1;11;16.0;0.5845498277314882;0.917823150324138;12.028899935955112;10083.477736043835;406.255
1;11;17.0;0.13686096131434136;0.6332489594499151;12.028899935955112;10083.477736043835;314.74
1;11;18.0;0.008016819654733822;1.0;12.028899935955112;10083.477736043835;175.16999999999996
1;12;7.0;0.46051808065473876;1.0;12.028676751484122;10092.967612807997;112.48999999999995
1;12;10.0;0.5220532182283767;0.415422859348819;12.028676751484122;10092.967612807997;560.5666666666666
1;12;13.0;0.3862799704844814;0.25868025400679123;12.028676751484122;10092.967612807997;660.37
1;12;16.0;0.3484999420074929;0.536045160503081;12.028676751484122;10092.967612807997;482.98833333333334
1;13;7.0;0.1891270854336591;0.49075244671001755;12.028443791787032;10102.750157171624;104.06000000000006
1;13;10.0;0.9178036880063146;0.7695312019015247;12.028443791787032;10102.750157171624;496.28166666666664
1;13;13.0;1.0139955666700367;0.7787613589139354;12.028443791787032;10102.750157171624;595.0056666666667
1;13;16.0;0.19626038860405598;0.2898187728420457;12.028443791787032;10102.750157171624;520.28
1;14;7.0;0.15723931530146976;0.4001784810349033;12.028201225508724;10112.809876429083;147.62
1;14;10.0;0.8272731575283923;0.6885265827132206;12.028201225508724;10112.809876429083;537.5216666666666
1;14;13.0;0.3596383586352248;0.23660688350067938;12.028201225508724;10112.809876429083;603.44
1;14;16.0;0.3296306425262812;0.5055266825840036;12.028201225508724;10112.809876429083;414.84833333333336
1;15;7.0;0.06854439306317431;0.14824958136377603;12.027949226053531;10123.130781505966;138.45000000000005
1;15;10.0;0.2694263375322752;0.1893781851434983;12.027949226053531;10123.130781505966;453.075
1;15;13.0;0.40079753828258297;0.27070849218803456;12.027949226053531;10123.130781505966;661.26
1;15;16.0;0.3035013898739788;0.463266236142667;12.027949226053531;10123.130781505966;427.75
1;16;7.0;0.19549046815481214;0.5088269876946667;12.02768797120169;10133.696416448869;100.89999999999998
1;16;10.0;0.5579960491875556;0.44758367094494583;12.02768797120169;10133.696416448869;500.26666666666665
1;16;13.0;0.17277095090817862;0.08178165935078052;12.02768797120169;10133.696416448869;703.2875
1;16;16.0;0.2650487710715111;0.401074452127458;12.02768797120169;10133.696416448869;467.19
1;17;7.0;0.0834945845311156;0.19071407866918016;12.027417642724458;10144.489888661168;113.22000000000003
1;17;10.0;0.3219689276389938;0.2363920762616979;12.027417642724458;10144.489888661168;448.015
1;17;13.0;0.796531167085962;0.598585613877609;12.027417642724458;10144.489888661168;637.2783333333333
1;17;16.0;0.46890346393914856;0.7307811775507278;12.027417642724458;10144.489888661168;428.9
1;18;7.0;0.20527638948724697;0.5366229012749829;12.027138425999476;10155.493899807328;123.43999999999994
1;18;10.0;0.36257654287887736;0.27272682865171205;12.027138425999476;10155.493899807328;447.01
1;18;13.0;0.7901666986988244;0.59331246187845;12.027138425999476;10155.493899807328;629.2183333333334
1;18;16.0;0.386551094949382;0.5975876291044598;12.027138425999476;10155.493899807328;409.47333333333336
1;19;7.0;0.24518499599700225;0.6499792363580481;12.026850509627755;10166.690777307505;146.71499999999997
1;19;10.0;1.0187570602605096;0.8598619381962872;12.026850509627755;10166.690777307505;411.07666666666665
1;19;13.0;0.7684635208236723;0.5753307313019027;12.026850509627755;10166.690777307505;632.4883333333333
1;19;16.0;0.342782978841037;0.5267987645606462;12.026850509627755;10166.690777307505;397.1533333333333
1;20;7.0;0.07667860602947202;0.17135398543309044;12.026554085053721;10178.062506342652;125.12
1;20;10.0;1.0786443109893706;0.9134476613099821;12.026554085053721;10178.062506342652;410.83500000000004
1;20;13.0;0.5651309037652276;0.40686358983524845;12.026554085053721;10178.062506342652;594.915
1;20;16.0;0.05100010313456432;0.05488038421592499;12.026554085053721;10178.062506342652;494.005
1;21;7.0;0.03331834535483187;0.04819357798759114;12.026249346189635;10189.590762289981;112.17999999999995
1;21;10.0;0.07399607810697124;0.0145117212108822;12.026249346189635;10189.590762289981;634.77
1;21;13.0;0.21770838364248993;0.119013663478399;12.026249346189635;10189.590762289981;611.9971666666667
1;21;16.0;0.4503903692870522;0.700838811597166;12.026249346189635;10189.590762289981;361.02
1;22;7.0;0.024973478987704762;0.024490834372520667;12.025936489045597;10201.256943507817;112.44
1;22;10.0;0.0764036267873075;0.016665939936856663;12.025936489045597;10201.256943507817;626.0799999999999
1;22;13.0;0.6926565883179925;0.5125224253481331;12.025936489045597;10201.256943507817;592.9433333333334
1;22;16.0;0.03519998667370822;0.029325884653839222;12.025936489045597;10201.256943507817;569.41
1;23;7.0;0.09650449018240045;0.2276673915854209;12.025615711366399;10213.042204389048;122.01499999999993
1;23;10.0;0.12419205092100469;0.059425913595724585;12.025615711366399;10213.042204389048;616.39
1;23;13.0;1.207668300552557;0.9392249988809653;12.025615711366399;10213.042204389048;477.15
1;23;16.0;0.29226102986539043;0.4450865109723632;12.025615711366399;10213.042204389048;415.69
1;24;7.0;0.05154783354824074;0.09997258389048377;12.025287212276249;10224.927488601952;124.815
1;24;10.0;0.9412874427280025;0.7905439210173789;12.025287212276249;10224.927488601952;397.295
1;24;13.0;0.13125392221741908;0.047383562051364236;12.025287212276249;10224.927488601952;654.6725
1;24;16.0;0.30820365365343955;0.4708714963944342;12.025287212276249;10224.927488601952;408.845
1;25;7.0;0.036559322108961595;0.05739924260651865;12.024951191932407;10236.893562438094;94.21499999999997
1;25;10.0;0.13861122359286207;0.07232785490909237;12.024951191932407;10236.893562438094;616.34
1;25;13.0;0.18301577621158252;0.0902698028599629;12.024951191932407;10236.893562438094;664.3155
1;25;16.0;0.04580324387301195;0.04647518428891346;12.024951191932407;10236.893562438094;547.295
1;26;7.0;0.0298931924868199;0.03846477986174879;12.02460785118873;10248.921048187141;107.01999999999998
1;26;9.0;0.06870767470660515;0.022546282414974656;12.02460785118873;10248.921048187141;408.47
1;26;10.0;0.08606482102602231;0.02531055248999069;12.02460785118873;10248.921048187141;586.85
1;26;11.0;0.7318535099874136;0.5831389686043296;12.02460785118873;10248.921048187141;616.8299999999999
1;26;12.0;0.21036881241169425;0.10567597348912967;12.02460785118873;10248.921048187141;601.3666666666667
1;26;13.0;0.18588551323358546;0.09264746562677272;12.02460785118873;10248.921048187141;650.0975
1;26;14.0;0.2313871319422918;0.21346580165423532;12.02460785118873;10248.921048187141;594.115
1;26;16.0;0.3295137527763648;0.5053376296064226;12.02460785118873;10248.921048187141;376.395
1;26;17.0;0.1058772429607184;0.48026562097169445;12.02460785118873;10248.921048187141;378.615
1;26;18.0;0.0015943718305867008;0.60847988989739;12.02460785118873;10248.921048187141;220.935
1;27;7.0;0.02489505440374499;0.024268077323463567;12.02425739126987;10260.990457459671;141.61499999999995
1;27;10.0;0.17697653143990655;0.10665624264509244;12.02425739126987;10260.990457459671;613.805
1;27;13.0;0.14997461092874803;0.06289421134664251;12.02425739126987;10260.990457459671;653.0925
1;27;14.0;0.08945921139255031;0.03322654955696979;12.02425739126987;10260.990457459671;573.895
1;27;15.0;0.059785079367366364;0.04781101161950608;12.02425739126987;10260.990457459671;571.78
1;27;16.0;0.15862405602657992;0.22894721871443052;12.02425739126987;10260.990457459671;567.41
1;27;17.0;0.048855630401154884;0.19871914694258122;12.02425739126987;10260.990457459671;402.20500000000004
1;27;18.0;0.0047806688143803445;0.8673463826917365;12.02425739126987;10260.990457459671;239.645
1;28;7.0;0.17747018003002205;0.4576421932952992;12.023900013456968;10273.082224380103;178.74
1;28;10.0;1.100551103248949;0.9330493509858997;12.023900013456968;10273.082224380103;388.295
1;28;13.0;1.1809299695861177;0.9170714936997941;12.023900013456968;10273.082224380103;501.855
1;28;16.0;0.2767617131748354;0.4200185133685052;12.023900013456968;10273.082224380103;430.38
1;29;7.0;0.06464334971071559;0.13716906475072962;12.023535918785477;10285.17673857334;159.94500000000005
1;29;10.0;0.07419757741478916;0.014692018118569908;12.023535918785477;10285.17673857334;597.75
1;29;13.0;0.8325795496178587;0.6284527746288009;12.023535918785477;10285.17673857334;587.7173333333333
1;29;16.0;0.05641843496740635;0.06364378534607683;12.023535918785477;10285.17673857334;478.725
1;30;7.0;0.04969309584357808;0.09470439020675937;12.02316530775576;10297.254377870484;103.43500000000012
1;30;10.0;0.3519879752104057;0.2632524238602444;12.02316530775576;10297.254377870484;514.425
1;30;13.0;1.0883961172295435;0.8404044354534101;12.02316530775576;10297.254377870484;498.1906666666667
1;30;16.0;0.4231862548225452;0.6568399250767747;12.02316530775576;10297.254377870484;411.52500000000003
1;31;7.0;0.1026313495400779;0.24507011202833914;12.022788380056888;10309.295540660936;143.29500000000002
1;31;10.0;0.5892972872415253;0.4755912928521499;12.022788380056888;10309.295540660936;517.7225
1;31;13.0;0.5124851384009989;0.363245002077208;12.022788380056888;10309.295540660936;633.715
1;31;16.0;0.33328487855393063;0.5114369031320404;12.022788380056888;10309.295540660936;415.52
2;1;7.0;0.14071995757203293;0.3532569266659896;12.022405334304132;10321.280677820334;105.48500000000007
2;1;10.0;0.7986842943254723;0.662945930920356;12.022405334304132;10321.280677820334;484.835
2;1;13.0;1.1263321789001377;0.871835594706678;12.022405334304132;10321.280677820334;497.89500000000004
2;1;16.0;0.16060143260265344;0.23214535139734693;12.022405334304132;10321.280677820334;492.785
2;2;7.0;0.14228037502787724;0.35768913363745863;12.02201636779046;10333.190324146419;98.63999999999999
2;2;10.0;0.9262292387436006;0.7770701893052495;12.02201636779046;10333.190324146419;484.9666666666667
2;2;13.0;1.5013062054795636;1.0;12.02201636779046;10333.190324146419;480.575
2;2;16.0;0.29826052808614245;0.45478986822512574;12.02201636779046;10333.190324146419;384.87
2;3;7.0;0.09754535038698613;0.23062384906275227;12.02162167625232;10345.00512923733;72.77499999999992
2;3;10.0;0.3769086704281017;0.28555088400800144;12.02162167625232;10345.00512923733;513.1578571428571
2;3;13.0;0.2719194176114089;0.16392912298911;12.02162167625232;10345.00512923733;625.555
2;3;16.0;0.14647771898010464;0.20930220119167484;12.02162167625232;10345.00512923733;537.5
2;4;7.0;0.1586105658597334;0.40407337868630033;12.021221453649874;10356.705887749971;132.08499999999998
2;4;10.0;0.5812482814762038;0.46838922915692677;12.021221453649874;10356.705887749971;543.02
2;4;13.0;0.49483437158179405;0.34862081500017256;12.021221453649874;10356.705887749971;592.005
2;4;16.0;0.4199889822630187;0.6516687796346061;12.021221453649874;10356.705887749971;414.89
