mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
1;1;7.0;-0.04309951409271291;0.08787715473559891;11.797728842312122;9517.04838335629;246.7851583333333
1;1;10.0;-0.05811694305648473;0.24167515591089306;11.797728842312122;9517.04838335629;366.33325
1;1;13.0;-0.06593579812868712;0.2834966401300318;11.797728842312122;9517.04838335629;323.76004166666655
1;1;16.0;-0.047499705317543786;0.09191280130978034;11.797728842312122;9517.04838335629;563.519475
1;2;6.0;-0.042486857406816805;0.06948580442303458;11.798506485704946;9524.391670639252;245.59999166666665
1;2;7.0;-0.04311025503653085;0.08709362232393661;11.798506485704946;9524.391670639252;246.7851583333333
1;2;8.0;-0.04611218889092244;0.11904365453762854;11.798506485704946;9524.391670639252;306.9042916666667
1;2;9.0;-0.051350985387281015;0.26643325400846785;11.798506485704946;9524.391670639252;478.92718333333335
1;2;10.0;-0.058100701684676195;0.24247788696577535;11.798506485704946;9524.391670639252;366.33325
1;2;11.0;-0.06450944419142556;0.255207509883306;11.798506485704946;9524.391670639252;300.0940416666663
1;2;12.0;-0.06776607413896903;0.27453310795558117;11.798506485704946;9524.391670639252;311.6429166666665
1;2;13.0;-0.0660312226916395;0.2794348234212911;11.798506485704946;9524.391670639252;328.00683333333325
1;2;16.0;-0.04756661804050983;0.08734759130675579;11.798506485704946;9524.391670639252;563.519475
1;3;6.0;-0.04249042449852871;0.06922398564918662;11.799357739243655;9532.301125990563;244.95290833333334
1;3;7.0;-0.04309998647724541;0.08784269513891416;11.799357739243655;9532.301125990563;246.13807499999996
1;3;8.0;-0.0460906407462997;0.1205052447855191;11.799357739243655;9532.301125990563;306.2353750000001
1;3;9.0;-0.05132330656878537;0.2678832566860618;11.799357739243655;9532.301125990563;482.607725
1;3;10.0;-0.05808051305674679;0.24347571145901686;11.799357739243655;9532.301125990563;369.66515000000004
1;3;13.0;-0.0661031599763184;0.2763727599876234;11.799357739243655;9532.301125990563;333.00691666666665
1;3;16.0;-0.047603891352136;0.08480456977753163;11.799357739243655;9532.301125990563;568.988225
1;4;7.0;-0.04307681192128511;0.08953323705297345;11.800281931249776;9540.767141096541;246.80136666666667
1;4;10.0;-0.058063667543276055;0.24430830226217107;11.800281931249776;9540.767141096541;364.3003583333333
1;4;13.0;-0.06619917902438185;0.2722856385828738;11.800281931249776;9540.767141096541;328.2656666666667
1;4;16.0;-0.04766043601427245;0.08094673458923782;11.800281931249776;9540.767141096541;576.5107916666667
1;5;7.0;-0.043061728918925936;0.09063351477659935;11.801278335880735;9549.77931725537;246.34915833333332
1;5;10.0;-0.05804907097982992;0.24502973853682214;11.801278335880735;9549.77931725537;360.73181666666665
1;5;13.0;-0.06627715008277155;0.2689667431332451;11.801278335880735;9549.77931725537;323.2203333333333
1;5;16.0;-0.047685578035545746;0.07923138656683934;11.801278335880735;9549.77931725537;577.7290416666667
1;6;7.0;-0.04305786744037664;0.09091520264794467;11.802346175010594;9559.32648337819;243.69049166666673
1;6;10.0;-0.05803141845179997;0.2459022160968381;11.802346175010594;9559.32648337819;359.97069166666665
1;6;13.0;-0.0663782615014154;0.2646628612292005;11.802346175010594;9559.32648337819;327.51691666666665
1;6;16.0;-0.04775176488811183;0.07471570004251823;11.802346175010594;9559.32648337819;572.0452083333334
1;7;7.0;-0.04303935774008981;0.09226545178346919;11.803484620223609;9569.39671539126;232.68724166666664
1;7;10.0;-0.05802219821431673;0.24635792704591541;11.803484620223609;9569.39671539126;362.21052499999996
1;7;13.0;-0.06647629781106872;0.26048987360114256;11.803484620223609;9569.39671539126;323.49954166666663
1;7;16.0;-0.047786776663764095;0.07232697482934032;11.803484620223609;9569.39671539126;568.6655000000001
1;8;7.0;-0.04302775585881164;0.09311178802465903;11.804692794910912;9579.977356991922;233.05299166666668
1;8;10.0;-0.058011979010922886;0.24686301196220828;11.804692794910912;9579.977356991922;364.1720249999999
1;8;13.0;-0.06657042704307321;0.2564831936069401;11.804692794910912;9579.977356991922;325.8174583333333
1;8;16.0;-0.047841683581114625;0.06858087696913094;11.804692794910912;9579.977356991922;570.1640500000001
1;9;7.0;-0.04301173325045866;0.094280608304956;11.805969776460064;9591.05504170757;230.57228333333342
1;9;10.0;-0.05799969691017155;0.24747005573957606;11.805969776460064;9591.05504170757;368.75102499999997
